country,serie,2018,2015,2014,2017,2016,2011,2010,2013,2012,1991,1990,1993,1992,1995,1994,1997,1996,1999,1998,2002,2003,2000,2001,2006,2007,2004,2005,2008,2009
Luxembourg,Carbon Footprint,,21.984,21.984,21.984,21.984,10.992,25.648,21.984,21.984,10.992,10.992,10.992,10.992,7.328,10.992,7.328,10.992,7.328,7.328,7.328,10.992,7.328,7.328,14.656,10.992,10.992,14.656,25.648,25.648
Malaysia,Carbon Footprint,,241.824,245.488,249.152,249.152,201.52,194.192,238.16,216.176,73.28,62.288,87.936,76.944,106.256,87.936,117.248,109.92,98.928,87.936,128.24,135.568,113.584,117.248,157.552,161.216,146.56,153.888,179.536,172.208
Ireland,Carbon Footprint,,43.968,43.968,43.968,43.968,43.968,47.632,43.968,43.968,40.304,40.304,40.304,40.304,43.968,40.304,47.632,47.632,54.96,47.632,54.96,62.288,54.96,54.96,65.952,65.952,65.952,65.952,62.288,51.296
Uruguay,Carbon Footprint,,10.992,10.992,10.992,10.992,10.992,10.992,14.656,14.656,7.328,3.664,7.328,7.328,7.328,3.664,7.328,7.328,10.992,7.328,7.328,7.328,7.328,7.328,7.328,7.328,7.328,7.328,10.992,10.992
Senegal,Carbon Footprint,,10.992,10.992,10.992,10.992,7.328,7.328,10.992,7.328,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,7.328,7.328,3.664,3.664,7.328,7.328,7.328,7.328,7.328,7.328
Germany,Carbon Footprint,,886.688,890.352,894.016,890.352,970.96,978.288,923.328,923.328,1150.496,1161.488,1106.528,1099.2,1117.52,1102.864,1077.216,1110.192,1058.896,1080.88,1033.248,1062.56,1055.232,1058.896,1066.224,1014.928,1062.56,1040.576,1003.936,934.32
Honduras,Carbon Footprint,,10.992,10.992,10.992,10.992,10.992,10.992,10.992,10.992,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,7.328,7.328,10.992,7.328,7.328,7.328,10.992,10.992,7.328,10.992,10.992,10.992
Uzbekistan,Carbon Footprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,Carbon Footprint,,40.304,40.304,40.304,40.304,32.976,29.312,36.64,36.64,29.312,32.976,29.312,21.984,25.648,25.648,29.312,29.312,25.648,29.312,32.976,32.976,25.648,29.312,40.304,32.976,36.64,36.64,36.64,32.976
Turkey,Carbon Footprint,,428.688,414.032,468.992,450.672,388.384,366.4,399.376,395.712,227.168,223.504,216.176,216.176,227.168,212.512,238.16,219.84,227.168,238.16,238.16,252.816,260.144,219.84,318.768,362.736,278.464,300.448,355.408,340.752
Norway,Carbon Footprint,,47.632,51.296,47.632,47.632,51.296,51.296,51.296,51.296,40.304,36.64,40.304,36.64,43.968,40.304,43.968,43.968,32.976,47.632,32.976,40.304,32.976,29.312,47.632,54.96,40.304,43.968,51.296,47.632
Bahrain,Carbon Footprint,,18.32,18.32,18.32,18.32,18.32,21.984,18.32,14.656,10.992,10.992,14.656,10.992,14.656,14.656,10.992,14.656,7.328,14.656,10.992,10.992,10.992,10.992,10.992,18.32,10.992,14.656,18.32,18.32
Serbia,Carbon Footprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,Carbon Footprint,,7.328,7.328,7.328,7.328,7.328,7.328,7.328,7.328,0.0,0.0,0.0,0.0,3.664,0.0,3.664,0.0,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,7.328
Portugal,Carbon Footprint,,58.624,54.96,62.288,58.624,62.288,65.952,54.96,58.624,54.96,54.96,58.624,58.624,65.952,62.288,65.952,62.288,76.944,73.28,80.608,76.944,80.608,76.944,80.608,76.944,80.608,87.936,73.28,65.952
Zimbabwe,Carbon Footprint,,14.656,10.992,10.992,10.992,10.992,7.328,10.992,10.992,21.984,18.32,21.984,21.984,21.984,21.984,18.32,21.984,14.656,18.32,10.992,10.992,7.328,10.992,10.992,10.992,10.992,10.992,10.992,7.328
Nigeria,Carbon Footprint,,98.928,106.256,95.264,95.264,98.928,91.6,109.92,87.936,36.64,32.976,40.304,43.968,32.976,32.976,47.632,36.64,32.976,40.304,80.608,87.936,58.624,76.944,62.288,84.272,87.936,91.6,80.608,84.272
Bahamas,Carbon Footprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,Carbon Footprint,,7.328,7.328,7.328,7.328,7.328,7.328,7.328,7.328,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,7.328,3.664,3.664,7.328,7.328,3.664,7.328,3.664,7.328
Benin,Carbon Footprint,,7.328,7.328,7.328,7.328,7.328,7.328,7.328,7.328,0.0,0.0,0.0,0.0,0.0,0.0,3.664,0.0,3.664,3.664,3.664,3.664,3.664,3.664,7.328,7.328,3.664,3.664,7.328,7.328
Tanzania,Carbon Footprint,,18.32,18.32,21.984,18.32,14.656,10.992,18.32,14.656,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,7.328,7.328,3.664,3.664,10.992,7.328,7.328,7.328,10.992,10.992
Tunisia,Carbon Footprint,,25.648,25.648,29.312,25.648,25.648,25.648,25.648,21.984,18.32,14.656,18.32,14.656,18.32,18.32,21.984,18.32,18.32,18.32,21.984,18.32,21.984,18.32,21.984,21.984,18.32,18.32,21.984,21.984
Congo,Carbon Footprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,Carbon Footprint,,10.992,7.328,10.992,10.992,7.328,7.328,7.328,7.328,3.664,3.664,3.664,3.664,3.664,3.664,7.328,3.664,7.328,7.328,3.664,3.664,3.664,3.664,3.664,7.328,3.664,3.664,7.328,7.328
Austria,Carbon Footprint,,91.6,87.936,95.264,91.6,98.928,95.264,91.6,95.264,87.936,84.272,84.272,80.608,87.936,84.272,91.6,95.264,91.6,95.264,95.264,98.928,91.6,95.264,106.256,102.592,102.592,102.592,98.928,91.6
Pakistan,Carbon Footprint,,194.192,190.528,223.504,208.848,175.872,172.208,183.2,179.536,73.28,73.28,80.608,76.944,87.936,87.936,98.928,102.592,109.92,98.928,124.576,124.576,117.248,117.248,153.888,164.88,139.232,150.224,164.88,164.88
Vanuatu,Carbon Footprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,Carbon Footprint,,21.984,29.312,25.648,21.984,21.984,14.656,40.304,36.64,10.992,7.328,7.328,7.328,7.328,7.328,7.328,7.328,7.328,7.328,7.328,7.328,7.328,7.328,10.992,10.992,7.328,7.328,14.656,14.656
Belize,Carbon Footprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,Carbon Footprint,,531.28,414.032,600.896,578.912,509.296,432.352,447.008,542.272,179.536,150.224,212.512,194.192,223.504,216.176,271.136,249.152,241.824,190.528,304.112,311.44,263.808,289.456,337.088,366.4,329.76,337.088,410.368,443.344
Mauritius,Carbon Footprint,,3.664,3.664,7.328,7.328,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664
Fiji,Carbon Footprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,Carbon Footprint,,10.992,10.992,14.656,10.992,10.992,14.656,10.992,14.656,21.984,21.984,14.656,14.656,10.992,14.656,14.656,14.656,10.992,14.656,10.992,14.656,10.992,10.992,14.656,14.656,14.656,10.992,14.656,14.656
Switzerland,Carbon Footprint,,120.912,124.576,120.912,120.912,117.248,106.256,124.576,113.584,84.272,80.608,80.608,80.608,84.272,80.608,95.264,106.256,98.928,113.584,91.6,106.256,102.592,95.264,106.256,113.584,106.256,106.256,113.584,109.92
Niger,Carbon Footprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,Carbon Footprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,Carbon Footprint,,14.656,18.32,14.656,18.32,10.992,7.328,14.656,10.992,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,7.328,7.328,3.664,3.664,7.328,10.992
Ethiopia,Carbon Footprint,,18.32,18.32,21.984,18.32,10.992,10.992,14.656,14.656,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,7.328,7.328,3.664,7.328,7.328,7.328,7.328,7.328,10.992,10.992
